Date,Tons
9/11/2017,27500
9/11/2017,18000
9/11/2017,28800
9/11/2017,28000
9/11/2017,35175
9/11/2017,30586
9/12/2017,28300
9/12/2017,28100
9/12/2017,26000
9/12/2017,29650
9/12/2017,22000
9/13/2017,29069
9/13/2017,22000
9/13/2017,22000
9/13/2017,40964
9/13/2017,24000
9/13/2017,29013
9/13/2017,27500
9/14/2017,37250
9/14/2017,22000
9/14/2017,18000
9/14/2017,27900
9/14/2017,24487
9/14/2017,18000
9/14/2017,25124
9/14/2017,29500
9/15/2017,30522
9/15/2017,30381
9/15/2017,26861
9/15/2017,18000
9/15/2017,35803
9/16/2017,22000
9/16/2017,28300
9/16/2017,22000
9/16/2017,26000
9/16/2017,29073
9/16/2017,27500
9/17/2017,22000
9/17/2017,25195
9/18/2017,26499
9/18/2017,28000
9/18/2017,26000
9/18/2017,28500
9/18/2017,30587
9/18/2017,37250
9/18/2017,28800
9/18/2017,27500
9/19/2017,35127
9/19/2017,33720
9/19/2017,22000
9/19/2017,27500
9/19/2017,18000
9/19/2017,30334
9/19/2017,26000
9/19/2017,18000
9/19/2017,18000
9/19/2017,29501
9/19/2017,27200
9/19/2017,26586
9/20/2017,24726
9/20/2017,25801
9/20/2017,22042
9/20/2017,28100
9/21/2017,27900
9/21/2017,26000
9/21/2017,29871
9/21/2017,27900
9/21/2017,28500
9/21/2017,22000
9/21/2017,29225
9/21/2017,27500
9/21/2017,28500
9/21/2017,25200
9/21/2017,30311
9/22/2017,22000
9/22/2017,18000
9/22/2017,26000
9/22/2017,29704
9/22/2017,22000
9/22/2017,29500
9/23/2017,18000
9/23/2017,28000
9/23/2017,27000
9/23/2017,29650
9/23/2017,24000
9/24/2017,29501
9/24/2017,33370
9/24/2017,30214
9/24/2017,22000
9/24/2017,27614
9/24/2017,18000
9/25/2017,28847
9/25/2017,27200
9/25/2017,27900
9/25/2017,37250
9/25/2017,28500
9/26/2017,25898
9/26/2017,40531
9/26/2017,18000
9/26/2017,23723
9/26/2017,24599
9/26/2017,22000
9/26/2017,18000
9/26/2017,24295
9/27/2017,32510
9/27/2017,27200
9/27/2017,22000
9/27/2017,22000
9/27/2017,18000
9/27/2017,30372
9/28/2017,28301
9/28/2017,27900
9/28/2017,28000
9/28/2017,18000
9/28/2017,32005
9/29/2017,12507
9/29/2017,18000
9/29/2017,29650
9/29/2017,27900
9/29/2017,27500
9/29/2017,27000
9/29/2017,30846
9/30/2017,22000
9/30/2017,18000
9/30/2017,37250
9/30/2017,28800
9/30/2017,22000
9/30/2017,28500
9/30/2017,28500
9/30/2017,27500
9/30/2017,18000
10/1/2017,24421
10/1/2017,30359
10/1/2017,27500
10/1/2017,22000
10/2/2017,29500
10/2/2017,18000
10/2/2017,28471
10/2/2017,39592
10/3/2017,18000
10/3/2017,28200
10/3/2017,22000
10/3/2017,22000
10/3/2017,29134
10/3/2017,19003
10/3/2017,27900
10/3/2017,26679
10/3/2017,18000
10/3/2017,28301
10/3/2017,22000
10/3/2017,34260
10/4/2017,18000
10/4/2017,32159
10/4/2017,27000
10/4/2017,29704
10/4/2017,25375
10/4/2017,24000
10/5/2017,28000
10/5/2017,18000
10/5/2017,28388
10/5/2017,23938
10/6/2017,27200
10/6/2017,27851
10/6/2017,28500
10/6/2017,29501
10/6/2017,26000
10/6/2017,37250
10/6/2017,24000
10/6/2017,33079
10/6/2017,28100
10/6/2017,27900
10/7/2017,30522
10/7/2017,22000
10/7/2017,24858
10/7/2017,22000
10/7/2017,27500
10/7/2017,22000
10/8/2017,40612
10/8/2017,28800
10/8/2017,22000
10/8/2017,27500
10/9/2017,31848
10/9/2017,27900
10/9/2017,18000
10/9/2017,27900
10/9/2017,37311
10/10/2017,26000
10/10/2017,29222
10/10/2017,22000
10/10/2017,31070
10/10/2017,27200
10/10/2017,18000
10/11/2017,29650
10/11/2017,28693
10/11/2017,26000
10/11/2017,28000
10/11/2017,29022
10/11/2017,29500
10/12/2017,18000
10/12/2017,29487
10/12/2017,22000
10/12/2017,26000
10/12/2017,26158
10/12/2017,28301
10/12/2017,28500
10/13/2017,22000
10/13/2017,22000
10/13/2017,20005
10/13/2017,24281
10/13/2017,22000
10/13/2017,27000
10/13/2017,40391
10/14/2017,30235
10/14/2017,37250
10/14/2017,18000
10/14/2017,18000
10/14/2017,27900
10/14/2017,30939
10/14/2017,24000
10/14/2017,30867
10/15/2017,27900
10/15/2017,28637
10/15/2017,22000
10/15/2017,27500
10/15/2017,37420
10/15/2017,22000
10/16/2017,28500
10/16/2017,22000
10/16/2017,26000
10/16/2017,27500
10/16/2017,22000
10/17/2017,27500
10/17/2017,28100
10/17/2017,27500
10/17/2017,18000
10/17/2017,27039
10/17/2017,28000
10/17/2017,27200
10/17/2017,29704
10/18/2017,25217
10/18/2017,27000
10/18/2017,26000
10/18/2017,22000
10/18/2017,29650
10/18/2017,33458
10/18/2017,37250
10/19/2017,28800
10/19/2017,40498
10/19/2017,24629
10/19/2017,27900
10/19/2017,27900
10/20/2017,29924
10/20/2017,18000
10/20/2017,22000
10/20/2017,29501
10/20/2017,27000
10/20/2017,18000
10/20/2017,26000
10/20/2017,37250
10/20/2017,22000
10/20/2017,28500
10/20/2017,30279
10/21/2017,22000
10/21/2017,24505
10/21/2017,28500
10/21/2017,34004
10/21/2017,20880
10/21/2017,28338
10/22/2017,24000
10/22/2017,18000
10/22/2017,18000
10/23/2017,30255
10/23/2017,29500
10/23/2017,27200
10/23/2017,26000
10/23/2017,29704
10/23/2017,30563
10/23/2017,18000
10/23/2017,27500
10/24/2017,30114
10/24/2017,37250
10/24/2017,28536
10/24/2017,27900
10/24/2017,28100
10/24/2017,40382
10/25/2017,27500
10/25/2017,29501
10/25/2017,22000
10/25/2017,21092
10/25/2017,28301
10/25/2017,22000
10/25/2017,24639
10/25/2017,26000
10/25/2017,28500
10/26/2017,29500
10/26/2017,18000
10/26/2017,37345
10/26/2017,22000
10/26/2017,28500
10/26/2017,27900
10/26/2017,22000
10/26/2017,29650
10/27/2017,26000
10/27/2017,18000
10/27/2017,18000
10/27/2017,24000
10/27/2017,30429
10/28/2017,27159
